filename,loc,noc,cloc,dc,nof
./source/ndcfillingrectangle.ts,115,14,54,0.31952662721893493,4
./source/ndcfillingtriangle.ts,117,14,56,0.3236994219653179,4
./source/object.ts,149,19,64,0.3004694835680751,6
./source/panmodifier.ts,75,8,16,0.17582417582417584,3
./source/pinchzoommodifier.ts,71,7,15,0.1744186046511628,3
./source/pointereventprovider.ts,237,12,39,0.14130434782608695,13
./source/pointerlock.ts,128,14,36,0.21951219512195122,13
./source/polyfill.ts,240,37,63,0.2079207920792079,5
./source/program.ts,244,17,79,0.24458204334365324,9
./source/properties.ts,204,18,55,0.21235521235521235,5
./source/randomsquarekernel.ts,65,7,28,0.3010752688172043,1
./source/raymath.ts,277,26,106,0.27676240208877284,11
./source/readbackpass.ts,459,42,149,0.2450657894736842,11
./source/renderbuffer.ts,203,22,67,0.24814814814814815,5
./source/renderer.ts,470,63,225,0.3237410071942446,19
./source/resizable.ts,158,22,57,0.2651162790697674,8
./source/scene/forwardscenerenderpass.ts,301,30,77,0.2037037037037037,9
./source/scene/geometrycomponent.ts,36,1,4,0.1,0
./source/scene/index.ts,9,0,0,0,0
./source/scene/material.ts,27,0,0,0,0
./source/scene/scenenode.ts,132,17,49,0.27071823204419887,5
./source/scene/scenenodecomponent.ts,23,3,7,0.23333333333333334,0
./source/scene/scenerenderpass.ts,65,9,30,0.3157894736842105,4
./source/scene/transformcomponent.ts,25,1,5,0.16666666666666666,0
./source/shader.ts,202,17,72,0.26277372262773724,5
./source/shadowpass.ts,247,5,5,0.01984126984126984,5
./source/text/fontface.ts,364,35,155,0.29865125240847784,15
./source/text/fontfaceloader.ts,356,16,71,0.16627634660421545,13
./source/text/glyph.ts,173,20,80,0.31620553359683795,4
./source/text/glyphvertices.ts,176,21,58,0.24786324786324787,9
./source/text/index.ts,19,4,4,0.17391304347826086,0
./source/text/label.ts,539,59,178,0.2482566248256625,11
./source/text/labelgeometry.ts,281,22,98,0.25857519788918204,5
./source/text/labelrenderpass.ts,538,46,113,0.17357910906298002,7
./source/text/position2dlabel.ts,188,23,47,0.2,1
./source/text/position3dlabel.ts,159,14,39,0.19696969696969696,1
./source/text/projected3dlabel.ts,200,22,51,0.20318725099601595,1
./source/text/text.ts,104,12,39,0.2727272727272727,2
./source/text/typesetter.ts,631,57,147,0.18894601542416453,20
./source/texture2d.ts,454,35,134,0.22789115646258504,16
./source/texture2darray.ts,377,32,118,0.2383838383838384,14
./source/texture3d.ts,520,33,133,0.20367534456355282,21
./source/texturecube.ts,646,38,157,0.19551681195516812,22
./source/tilecameragenerator.ts,539,54,193,0.26366120218579236,13
./source/toucheventprovider.ts,162,9,27,0.14285714285714285,8
./source/trackballmodifier.ts,108,17,32,0.22857142857142856,3
./source/tuples.ts,219,25,105,0.32407407407407407,13
./source/turntablemodifier.ts,114,12,28,0.19718309859154928,3
./source/unifiedbuffer.ts,353,30,148,0.2954091816367265,14
./source/version.ts,24,4,12,0.3333333333333333,0
./source/vertexarray.ts,138,13,59,0.29949238578680204,9
./source/viewer/eventblocker.ts,77,6,26,0.2524271844660194,3
./source/viewer/fullscreen.ts,210,20,74,0.2605633802816901,17
./source/webgl-operate.slim.ts,98,4,4,0.0392156862745098,0
./source/webgl-operate.ts,39,7,7,0.15217391304347827,0
./source/wheelzoommodifier.ts,54,5,10,0.15625,2
./source/wizard.ts,113,9,27,0.19285714285714287,2
./test/abstactsquarekernel.test.ts,131,1,1,0.007575757575757576,32
./test/allocationregister.test.ts,191,2,2,0.010362694300518135,30
./test/antialiasingkernel.test.ts,55,2,2,0.03508771929824561,5
./test/auxiliaries.test.ts,354,2,2,0.0056179775280898875,40
./test/camera.test.ts,40,2,2,0.047619047619047616,4
./test/changelookup.test.ts,115,2,2,0.017094017094017096,5
./test/color.test.ts,490,10,10,0.02,27
./test/coloscale.test.ts,214,21,21,0.08936170212765958,25
./test/contextmasquerade.test.ts,123,3,3,0.023809523809523808,11
./test/controller.test.ts,271,2,2,0.007326007326007326,38
./test/extensionshash.test.ts,136,4,4,0.02857142857142857,27
./test/firstpersonmodifier.test.ts,90,2,2,0.021739130434782608,16
./test/gl-matrix-extensions.test.ts,287,2,2,0.006920415224913495,31
./test/initializable.test.ts,142,2,2,0.013888888888888888,47
./test/object.test.ts,132,3,3,0.022222222222222223,16
./test/properties.test.ts,312,3,4,0.012658227848101266,14
./test/randomsquarekernel.test.ts,29,2,2,0.06451612903225806,5
./test/raymath.test.ts,184,3,3,0.016042780748663103,12
./test/resizable.test.ts,64,4,4,0.058823529411764705,6
./test/tilecamgeragenerator.test.ts,232,8,8,0.03333333333333333,30
./test/tuples.test.ts,141,3,3,0.020833333333333332,16
./test/unifiedbuffer.test.ts,413,8,33,0.07399103139013453,30
